Date,VIX Open,VIX High,VIX Low,VIX Close
09/20/2017, 10.04, 10.67, 9.67, 9.78
09/21/2017, 9.74, 10.21, 9.54, 9.67
09/22/2017, 9.90, 10.20, 9.50, 9.59
09/25/2017, 10.08, 11.21, 9.79, 10.21
09/26/2017, 10.42, 10.68, 9.94, 10.17
09/27/2017, 9.90, 10.42, 9.63, 9.87
09/28/2017, 9.74, 10.13, 9.55, 9.55
09/29/2017, 9.59, 9.83, 9.36, 9.51
10/02/2017, 9.59, 10.04, 9.37, 9.45
10/03/2017, 9.30, 9.75, 9.30, 9.51
10/04/2017, 9.53, 9.88, 9.53, 9.63
10/05/2017, 9.48, 9.62, 9.13, 9.19
10/06/2017, 9.23, 10.27, 9.11, 9.65
10/09/2017, 9.92, 10.53, 9.88, 10.33
10/10/2017, 10.15, 10.66, 9.94, 10.08
10/11/2017, 9.95, 10.38, 9.72, 9.85
10/12/2017, 9.94, 10.33, 9.65, 9.91
10/13/2017, 9.95, 9.98, 9.44, 9.61
10/16/2017, 9.95, 10.02, 9.75, 9.91
10/17/2017, 9.85, 10.46, 9.78, 10.31
10/18/2017, 10.34, 10.41, 9.87, 10.07
10/19/2017, 10.22, 11.77, 9.99, 10.05
10/20/2017, 9.92, 10.04, 9.29, 9.97
10/23/2017, 10.25, 11.08, 9.94, 11.07
10/24/2017, 10.89, 11.16, 10.39, 11.16
10/25/2017, 11.34, 13.20, 10.99, 11.23
10/26/2017, 11.17, 11.81, 10.60, 11.30
10/27/2017, 11.12, 11.12, 9.74, 9.80
10/30/2017, 10.28, 10.89, 10.10, 10.50
10/31/2017, 10.34, 10.37, 9.90, 10.18
11/01/2017, 9.79, 10.49, 9.74, 10.20
11/02/2017, 10.44, 10.89, 9.67, 9.93
11/03/2017, 9.83, 9.91, 8.99, 9.14
11/06/2017, 9.63, 9.74, 9.38, 9.40
11/07/2017, 9.31, 10.31, 9.29, 9.89
11/08/2017, 9.79, 10.27, 9.50, 9.78
11/09/2017, 9.94, 12.19, 9.79, 10.50
11/10/2017, 10.78, 11.58, 10.50, 11.29
11/13/2017, 11.43, 12.18, 11.00, 11.50
11/14/2017, 11.53, 12.61, 11.45, 11.59
11/15/2017, 12.52, 14.51, 12.33, 13.13
11/16/2017, 12.47, 12.52, 11.38, 11.76
11/17/2017, 11.75, 12.01, 11.16, 11.43
11/20/2017, 11.96, 12.08, 10.44, 10.65
11/21/2017, 10.74, 10.78, 9.67, 9.73
11/22/2017, 9.60, 9.88, 9.32, 9.88
11/24/2017, 9.82, 9.96, 8.56, 9.67
11/27/2017, 10.07, 10.26, 9.79, 9.87
11/28/2017, 9.72, 10.31, 9.53, 10.03
11/29/2017, 9.91, 10.93, 9.81, 10.70
11/30/2017, 10.49, 12.05, 10.25, 11.28
12/01/2017, 11.19, 14.58, 10.54, 11.43
12/04/2017, 11.05, 11.86, 10.26, 11.68
12/05/2017, 11.38, 11.67, 10.65, 11.33
12/06/2017, 11.63, 11.68, 10.86, 11.02
12/07/2017, 10.90, 11.32, 10.12, 10.16
12/08/2017, 10.00, 10.06, 9.43, 9.58
12/11/2017, 9.74, 10.08, 9.28, 9.34
12/12/2017, 9.36, 9.92, 9.21, 9.92
12/13/2017, 9.78, 10.21, 9.65, 10.18
12/14/2017, 9.98, 10.54, 9.78, 10.49
12/15/2017, 10.12, 10.20, 9.22, 9.42
12/18/2017, 9.46, 9.89, 9.24, 9.53
12/19/2017, 9.40, 10.15, 9.18, 10.03
12/20/2017, 9.69, 9.85, 8.90, 9.72
12/21/2017, 9.59, 9.86, 9.20, 9.62
12/22/2017, 9.37, 10.18, 9.35, 9.90
12/26/2017, 10.19, 10.46, 10.13, 10.25
12/27/2017, 10.04, 10.79, 9.71, 10.47
12/28/2017, 10.29, 10.44, 10.07, 10.18
12/29/2017, 10.03, 11.06, 9.95, 11.04
01/02/2018, 10.95, 11.07, 9.52, 9.77
01/03/2018, 9.56, 9.65, 8.94, 9.15
01/04/2018, 9.01, 9.31, 8.92, 9.22
01/05/2018, 9.10, 9.54, 9.00, 9.22
01/08/2018, 9.61, 9.89, 9.32, 9.52
01/09/2018, 9.41, 10.09, 9.37, 10.08
01/10/2018, 10.11, 10.85, 9.82, 9.82
01/11/2018, 9.69, 10.02, 9.62, 9.88
01/12/2018, 9.74, 10.31, 9.54, 10.16
